 if any change: ""a static population""",2234
81759,00609912,a,9,"a common but incorrect usage where ""credulous"" would be appropriate; ""she was not the...credible fool he expected""",
81763,00610425,a,9,"denying or questioning the tenets of especially a religion: ""a skeptical approach to the nature of miracles""",
81760,00610081,a,9,too credulous for your own good,
81761,00610172,a,9,not inclined to ask questions,
81762,00610261,a,9,not disposed or willing to believe,
81765,00610721,a,9,"marked by a tendency to find and call attention to errors and flaws: ""a critical attitude""",
81764,00610630,a,9,incredulous by virtue of distrust,
81766,00610992,a,9,"tending to find and call attention to faults: ""a captious pedant""; ""an excessively demanding and faultfinding tutor""",
81767,00611178,a,9,"quibbling over insignificant details: ""caviling pettifoggers and quiggling pleaders""-Edmund Burke; ""her nagging and carping attack""; ""thought her editor unnecessarily nitpicking""; ""a pettifogging lawyer's mind""; ""had no patience with quibbling critics""",
81768,00611535,a,9,"harshly critical or expressing censure: ""was censorious of petty failings""",
81769,00611666,a,9,"inclined to judge too severely: ""hypercritical of colloquial speech""; ""the overcritical teacher can discourage originality""",
81770,00611864,a,9,"marked by harshly abusive criticism: ""his scathing remarks about silly lady novelists""; ""her vituperative railing""",
81771,00612048,a,9,"not critical; not tending to find or call attention to errors: ""a devoted and almost uncritical admirer""",
81772,00612209,a,9,"depending on judgment: ""a judgmental error""; ""I think that she is too judgmental to be a good therapist""",
81773,00612388,a,9,"tending to make moral judgments or judgments based on personal opinions: ""a counselor tries not to be faultfinding""",
81774,00612565,a,9,"refraining from making judgments especially ones based on personal opinions or standards: ""sympathetic and nonjudgmental""",
81775,00612746,a,9,"characterized by careful evaluation and judgment: ""a critical reading""; ""a critical dissertation""; ""a critical analysis of Melville's writings",
81776,00613015,a,9,"exercising or involving careful evaluations: ""looked him over with an appraising eye""; ""the literary judge uses many evaluative terms""",
81777,00613222,a,9,"expressing careful judgment: ""discriminative censure""; ""a biography ...appreciative and yet judicial in purpose""-Tyler Dennett",
81778,00613420,a,9,"marked by disregard for critical standards or procedures: ""news sources reflected uncritical estimates of the number of juvenile addicts""",
81781,00614072,a,9,"causing fear or anxiety by threatening great harm: ""a dangerous operation""; ""a grave situation""; ""a grave illness""; ""grievous bodily harm""; ""a serious wound""; ""a serious turn of events""; ""a severe case of pneumonia""",1753
81782,00614381,a,9,"fraught with extreme danger; nearly hopeless: ""a desperate illness""; ""on all fronts the Allies were in a desperate situation due to lack of materiel""-G.C.Marshall; ""a dire emergency""",1753
81753,00608804,a,9,"beyond belief or understanding: ""at incredible speed""; ""the book's plot is simply incredible""",2234
81751,00608483,a,9,"within the realm of credibility: ""not a very likely excuse""; ""a plausible story""",2234
81784,00614771,a,9,without a crisis (as of some diseases),1753
81744,00607079,a,9,"indulging in or influenced by fancy: ""a fanciful mind""; ""all the notional vagaries of childhood""",2425
81747,00607720,a,9,exuberantly creative,2425
81745,00607241,a,9,"capable of imaginative creation: ""fictive talent""",2425
81786,00615249,a,9,(especially of fissionable material) able to sustain a chain reaction in such a manner that the rate of reaction increases,"2097,2111"
81787,00615431,a,9,(chemistry and physics) not critical; not at a point of abrupt change,"2097,2111"
81790,00615896,a,9,"not crossed: ""sitting primly with uncrossed legs""",
81789,00615768,a,9,crossed or intersected in the form of an X,
81796,00616483,a,9,"moving across open country rather than following tracks or roads: ""a cross-country race""",
81792,00616133,a,9,(of a check) not crosses,1766
81793,00616213,a,9,having convergent strabismus,2232
81794,00616316,a,9,(British informal) cross-eyed,2232
81795,00616401,a,9,having divergent strabismus,2232
81817,00620033,a,9,having three dimensions,2066
81797,00616649,a,9,"designed for or used for or taking place on trails and beaches etc instead of public roads: ""off-road vehicles such as dune buggies""; ""off-road sports such as snowmobiling""",
81798,00616876,a,9,"taking place over public roads: ""road racing""",
81799,00616993,a,9,"(of vehicles) fit to be driven on the open road; ""a roadworthy truck""",
81800,00617119,a,9,"provided with or as if with a crown or a crown as specified; often used in combination: ""a high-crowned hat""; ""an orange-crowned bird""; ""a crowned signet ring""",
81801,00617404,a,9,"covered as if with a cap or crown especially of a specified kind: ""cloud-capped mountains""; ""snow-capped peaks""",
81802,00617568,a,9,provided with a chaplet,
81804,00617839,a,9,"invested with royal power as symbolized by a crown: ""the royal (or crowned) heads of Europe""",
81805,00617983,a,9,"not (especially not yet) provided with a crown; ""the uncrowned king""",
81806,00618137,a,9,"having the power but not the rank or title of a king: ""one of the quasi-royal rulers of Africa""",
81809,00618588,a,9,"(dentistry) not having an artificial crown on a tooth; used especially of molars and bicuspids; ""uncrowned teeth badly in need of attention""",2265
81823,00620804,a,9,"of or in or along or relating to a line; involving a single dimension: ""a linear foot""",2066
81822,00620711,a,9,"having three dimensions: ""a solid object""",2066
81807,00618290,a,9,"(dentistry) having an artificial crown on a tooth; ""had many crowned teeth""",2265
81811,00618913,a,9,"of extreme importance; vital to the resolution of a crisis: ""a crucial moment in his career""; ""a crucial election""; ""a crucial issue for women""",
81812,00619212,a,9,"forming or having the nature of a turning point or crisis: ""a critical point in the campaign""; ""the critical test""",
81815,00619729,a,9,"having become fixed and definite in form: ""distinguish between crystallized and uncrystallized opinion""-Psychological Abstracts",
81814,00619638,a,9,of little importance; not decisive,
81816,00619916,a,9,"not finally or definitely formed: ""uncrystallized ideas""",
81827,00621272,a,9,"characterized by a straight line or lines: ""rectilinear patterns in wallpaper""; ""the rectilinear propagation of light""",2066
81818,00620254,a,9,resembling a block in shape,2066
81819,00620345,a,9,resembling a box in rectangularity,2066
81820,00620440,a,9,shaped like a cube,2066
81821,00620568,a,9,(crystallography) of a crystal system characterized by three equal axes at right angles,2066
81824,00621051,a,9,lying on the same line,2066
81803,00617647,a,9,"(botany) bearing a coma; crowned with an assemblage of branches or leaves or bracts; ""comate royal palms""; ""pineapples are comate""",2172
81833,00622018,a,9,flat; like a table in form,2066
81825,00621129,a,9,arranged in a line,2066
81826,00621200,a,9,resembling a line,2066
81828,00621462,a,9,involving two dimensions,2066
81808,00618437,a,9,"used especially of front teeth having artificial crowns: ""capped teeth gave her a beautiful smile""",2265
81829,00621665,a,9,lying in the same plane,2066
81830,00621743,a,9,having no depth or thickness,2066
81831,00621822,a,9,as the hard flattened scales of e.g. sharks,2066
81832,00621931,a,9,having been flattened,2066
81810,00618802,a,9,"used especially of front teeth: ""natural uncapped teeth""",2265
81877,00630006,a,9,"currently happening: ""an ongoing economic crisis""; ""negotiations are in progress""",1463
81791,00616001,a,9,(of a check) for deposit only as indicated by having two lines drawn across it,1766
81788,00615576,a,9,"placed crosswise: ""spoken with a straight face but crossed fingers""; ""crossed forks""; ""seated with arms across""",
81836,00622696,a,9,"having dimension--the quality or character or stature proper to a person; ""never matures as a dimensional character; he is pasty, bland, faceless""-Norman Cousins",
81837,00622916,a,9,"lacking the expected range or depth; not designed to give an illusion or depth: ""a film with two-dimensional characters""; ""a flat two-dimensional painting""",
81838,00623140,a,9,"involving or relating to three dimensions or aspects; giving the illusion of depth: ""lifelike three-dimensional characters""; ""a three-dimensional account of conditions under the new government""; ""they shot the movie in three-D""",
81840,00623577,a,9,"separated into parts or laid open or penetrated with a sharp edge or instrument: ""the cut surface was mottled""; ""cut tobacco""; ""blood from his cut forehead""; ""bandages on her cut wrists""",
81839,00623461,a,9,involving or relating to the fourth dimension or time,
81841,00623957,a,9,"prepared by cutting: ""sliced tomatoes""; ""sliced ham""; ""chopped clams""; ""chopped meat""; ""shredded cabbage""",
81842,00624136,a,9,"cut or used for cutting crosswise or across the grain: ""a crosscut slice of beef""; ""a crosscut saw""",
81845,00624444,a,9,"having a number or series of holes: ""a perforated steel plate""; ""perforated cancellation""; ""perforated stamp""",
81843,00624290,a,9,cut into pieces,
81844,00624358,a,9,cut into with a sharp instrument,
81846,00624610,a,9,"having a hole cut through: ""pierced ears""; ""a perforated eardrum""; ""a punctured balloon""",
